                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.61144,                0.40051,                 1.7022,                0.56785,                0.62716,                0.58175,                 0.4891,                  0.723,                0.72125,                 1.9589,              0.0014624,              0.0014624,              0.0014624
                     64,                0.61373,                0.40764,                 1.7217,                0.53303,                0.67005,                0.53369,                0.41863,                0.89072,                0.58024,                 2.1446,              0.0014591,              0.0014591,              0.0014591
                     65,                0.65671,                0.43896,                 1.7654,                0.55476,                0.59931,                0.53143,                0.42134,                0.87551,                 0.5959,                 2.0919,              0.0014558,              0.0014558,              0.0014558
                     66,                0.62649,                0.41856,                 1.7202,                0.51397,                0.58558,                0.52719,                0.41765,                0.85427,                0.56012,                 2.0728,              0.0014525,              0.0014525,              0.0014525
                     67,                0.63024,                0.42681,                 1.7345,                0.54438,                0.58508,                0.56846,                0.43242,                0.99667,                0.59094,                 2.1741,              0.0014492,              0.0014492,              0.0014492
                     68,                0.62123,                0.40345,                 1.7103,                0.57427,                0.67127,                0.57183,                0.42282,                 1.0422,                0.59787,                 2.1326,              0.0014459,              0.0014459,              0.0014459
                     69,                0.61498,                0.42552,                 1.7195,                 0.6254,                0.60365,                0.59099,                0.49378,                0.73567,                0.56089,                 1.9495,              0.0014426,              0.0014426,              0.0014426
                     70,                0.63695,                0.41406,                 1.7242,                0.63317,                0.55594,                0.56969,                0.42928,                  1.043,                0.63898,                 2.1364,              0.0014393,              0.0014393,              0.0014393
                     71,                0.63534,                0.41417,                 1.7384,                 0.5812,                0.61609,                 0.5649,                0.43752,                0.92521,                0.60186,                 2.1026,               0.001436,               0.001436,               0.001436
                     72,                0.62671,                0.41132,                 1.7369,                0.58606,                0.62747,                0.59694,                0.50586,                0.69676,                0.55325,                  1.977,              0.0014327,              0.0014327,              0.0014327
                     73,                0.59167,                0.40097,                 1.7295,                0.60888,                0.67508,                0.58517,                0.46589,                0.85853,                0.59568,                 2.1093,              0.0014294,              0.0014294,              0.0014294
                     74,                0.62428,                0.40121,                 1.7066,                0.57901,                0.65047,                0.55622,                0.46502,                0.75396,                0.54497,                 2.0149,              0.0014261,              0.0014261,              0.0014261
                     75,                0.61999,                0.40992,                  1.719,                0.57363,                0.58498,                0.53816,                0.40265,                   1.03,                0.64209,                 2.2309,              0.0014228,              0.0014228,              0.0014228
                     76,                0.59933,                0.39812,                 1.7343,                0.59415,                0.62856,                0.57539,                0.46737,                0.79894,                0.53645,                 2.0207,              0.0014195,              0.0014195,              0.0014195
                     77,                0.60271,                0.39186,                 1.6999,                0.66918,                0.62388,                0.61665,                0.51218,                0.73889,                 0.5122,                 1.9742,              0.0014161,              0.0014161,              0.0014161
                     78,                 0.6029,                0.40361,                 1.7366,                0.64431,                0.58617,                0.57878,                 0.4797,                0.75678,                0.52496,                 2.0273,              0.0014128,              0.0014128,              0.0014128
                     79,                0.59898,                0.39624,                 1.7562,                 0.6497,                0.60495,                0.54916,                0.43521,                0.85337,                 0.5787,                 2.0461,              0.0014095,              0.0014095,              0.0014095
                     80,                0.60267,                0.39297,                 1.7101,                0.59453,                0.56522,                0.53857,                0.43078,                0.86819,                0.62085,                  2.107,              0.0014062,              0.0014062,              0.0014062
                     81,                0.59549,                0.39176,                 1.7153,                0.56855,                0.66707,                0.55429,                0.44033,                0.82498,                0.55127,                 2.0369,              0.0014029,              0.0014029,              0.0014029
                     82,                0.60791,                0.39253,                 1.7133,                0.56579,                0.64809,                0.56762,                0.46089,                0.84799,                0.58258,                 2.1054,              0.0013996,              0.0013996,              0.0013996
                     83,                0.58967,                0.38987,                 1.7471,                0.49657,                0.56334,                0.51871,                0.42496,                0.75507,                0.57389,                 2.0447,              0.0013963,              0.0013963,              0.0013963
                     84,                0.58507,                0.37627,                 1.7158,                0.58924,                0.62034,                0.54949,                0.45663,                0.74292,                 0.6491,                 1.9898,               0.001393,               0.001393,               0.001393
                     85,                0.59637,                0.38346,                 1.7184,                0.58083,                0.69191,                0.60053,                0.49466,                0.77652,                0.52564,                 2.0344,              0.0013897,              0.0013897,              0.0013897
                     86,                0.59705,                0.38717,                 1.7397,                0.55398,                0.56147,                0.57875,                0.47202,                0.80043,                0.55973,                 2.0014,              0.0013864,              0.0013864,              0.0013864
                     87,                0.59279,                0.38246,                  1.711,                0.61361,                0.62669,                0.59616,                0.49305,                0.72542,                0.51454,                 1.9635,              0.0013831,              0.0013831,              0.0013831
                     88,                0.59053,                0.38647,                 1.7089,                0.58949,                0.60394,                0.55971,                0.42715,                0.96528,                0.55997,                 2.1407,              0.0013798,              0.0013798,              0.0013798
                     89,                0.59795,                 0.3837,                 1.7453,                0.60041,                0.64834,                0.57675,                0.46671,                0.80324,                0.55553,                 2.0439,              0.0013765,              0.0013765,              0.0013765
                     90,                0.59817,                0.39079,                 1.7102,                0.52178,                0.51987,                0.56621,                0.45144,                 0.8363,                 0.5792,                 2.0437,              0.0013732,              0.0013732,              0.0013732
                     91,                0.59077,                0.39502,                 1.7503,                0.57827,                0.64731,                0.55065,                 0.4524,                 0.7721,                0.54788,                 2.0432,              0.0013699,              0.0013699,              0.0013699
